CnBio_ID,CnSmryAct_1_Ttal_nmbr_f_Actins,CnSmryGft_1_Total_Gift_amount
"100060046","0","$50.00"
"100060169","0","$75.00"
"100060267","0","$275.00"
"100060423","0","$100.00"
"10017502","3","$1,972.50"
"100204010","0","$100.00"
"100204104","0","$50.00"
"100204174","9","$380.00"
"100226014","0","$75.00"
"100226302","0","$75.00"
"100226376","0","$75.00"
"100226442","0","$75.00"
"100227167","0","$50.00"
"100227220","5","$450.00"
"100227290","0","$50.00"
"100227350","0","$50.00"
"100259543","0","$145.00"
"100435320","6","$885.00"
"100590495","0","$50.00"
"100595489","0","$50.00"
"100602152","0","$35.00"
"100602619","0","$1,235.00"
"100604669","1","$925.00"
"100606741","0","$135.00"
"100614035","0","$75.00"
"100648578","0","$125.00"
"100652636","8","$3,075.00"
"100655128","3","$4,200.00"
"100723384","0","$70.00"
"100736863","1","$175.00"
"100829414","2","$1,357.50"
"100998320","0","$870.00"
"101043118","0","$35.00"
"101043162","0","$50.00"
"101043203","0","$35.00"
"101043334","0","$35.00"
"101043468","0","$75.00"
"101043614","0","$140.00"
"101043709","0","$50.00"
"101043868","0","$75.00"
"101043940","9","$730.00"
"101147001","0","$195.00"
"101147694","0","$50.00"
"101310147","0","$175.00"
"101310451","0","$75.00"
"101310521","0","$100.00"
"101310826","0","$50.00"
"101311128","0","$100.00"
"101407702","0","$70.00"
"101416096","0","$785.00"
"101458711","0","$280.00"
"101459076","0","$50.00"
"101459219","0","$50.00"
"101459809","0","$75.00"
"101460314","0","$50.00"
"101461077","0","$75.00"
"101461389","0","$50.00"
"101466529","0","$50.00"
"101466853","3","$2,825.00"
"101467789","0","$50.00"
"101628380","0","$1,500.00"
"101676551","0","$75.00"
"101869054","0","$70.00"
"101871788","0","$135.00"
"101873214","0","$50.00"
"101882810","0","$150.00"
"101892006","0","$50.00"
"101903771","0","$1,250.00"
"101903957","0","$50.00"
"101904338","0","$40.00"
"102175378","1","$0.00"
"102186879","0","$635.00"
"102440063","0","$50.00"
"102463992","0","$3,290.00"
"102465013","0","$960.00"
"102465227","0","$70.00"
"102467934","0","$50.00"
"102531741","0","$105.00"
"102565727","5","$745.00"
"102618561","1","$1,310.00"
"102662102","0","$50.00"
"102662452","0","$150.00"
"102663121","0","$50.00"
"102663379","0","$150.00"
"102663614","0","$75.00"
"102663789","0","$50.00"
"102663943","0","$75.00"
"102664193","0","$50.00"
"102664375","0","$75.00"
"102664620","0","$50.00"
"102664926","0","$75.00"
"102665129","0","$75.00"
"102665933","0","$50.00"
"102666521","0","$175.00"
"102666774","0","$75.00"
"102676740","0","$100.00"
"102677552","0","$75.00"
"102678109","3","$1,480.00"
"102726883","0","$760.00"
"102825307","9","$275.00"
"102825949","2","$1,030.00"
"102826373","0","$75.00"
"102861850","0","$225.00"
"103019646","0","$50.00"
"103030748","0","$120.00"
"103033885","6","$2,690.00"
"103042504","0","$35.00"
"103100057","0","$832.50"
"103113167","5","$810.00"
"103283812","0","$50.00"
"103284241","0","$75.00"
"103337000","0","$400.00"
"103343658","0","$1,605.00"
"103383696","0","$150.00"
"103391155","0","$35.00"
"103391264","0","$35.00"
"103425057","0","$0.00"
"103447609","0","$35.00"
"103453442","0","$200.00"
"103462762","0","$250.00"
"103462777","0","$330.00"
"103462819","0","$100.00"
"103462836","0","$410.00"
"103462878","0","$50.00"
"103492266","0","$50.00"
"103492760","0","$50.00"
"103493114","0","$50.00"
"103493888","0","$75.00"
"103494086","0","$75.00"
"103494689","0","$75.00"
"103494694","0","$50.00"
"103495287","1","$330.00"
"103495544","0","$140.00"
"103547111","0","$75.00"
"103668188","0","$100.00"
"103703649","0","$90.00"
"103717972","0","$300.00"
"103724399","0","$35.00"
"103724427","2","$660.00"
"103724737","2","$1,320.00"
"103724757","0","$75.00"
"103724787","0","$445.00"
"103750305","0","$150.00"
"103750357","0","$50.00"
"103757038","0","$650.00"
"103768167","7","$1,417.50"
"103777053","0","$475.00"
"103857814","0","$100.00"
"103883876","0","$125.00"
"104067703","0","$1,295.00"
"104067811","0","$35.00"
"104083753","4","$755.00"
"104085738","0","$50.00"
"104085771","0","$50.00"
"104140419","0","$225.00"
"104141877","0","$110.00"
"104141921","0","$100.00"
"104141991","14","$1,395.00"
"104142102","0","$270.00"
"104142219","0","$180.00"
"104142281","0","$0.00"
"104142492","0","$0.00"
"104142684","1","$250.00"
"104142876","14","$420.00"
"104143163","0","$0.00"
"104159412","0","$0.00"
"104162993","0","$0.00"
"104209927","0","$0.00"
"104210266","0","$0.00"
"104210722","0","$0.00"
"104314242","0","$0.00"
"104314275","0","$0.00"
"104314309","0","$0.00"
"104329233","0","$0.00"
"104386585","0","$0.00"
"104386748","0","$1,310.00"
"104386881","0","$0.00"
"104570169","0","$0.00"
"104684309","0","$0.00"
"104753778","0","$0.00"
"104789418","1","$470.00"
"104792833","0","$35.00"
"104794624","0","$0.00"
"104887955","0","$0.00"
"104888435","0","$0.00"
"104888954","0","$0.00"
"104890021","0","$0.00"
"104894747","0","$0.00"
"104895306","0","$0.00"
"104896184","0","$0.00"
"104900642","0","$0.00"
"104947560","0","$0.00"
"104947687","0","$0.00"
"105070070","0","$90.00"
"105070208","0","$0.00"
"105070248","0","$0.00"
"105070297","0","$0.00"
"105070363","0","$0.00"
"105085708","0","$0.00"
"105087095","3","$120.00"
"105237513","0","$0.00"
"105238413","0","$205.00"
"105263311","0","$0.00"
"105360587","0","$0.00"
"105375744","0","$0.00"
"105375782","12","$540.00"
"105375806","0","$60.00"
"105376896","3","$445.00"
"105386422","0","$35.00"
"105392994","0","$0.00"
"105420771","1","$0.00"
"105429361","0","$35.00"
"105449276","0","$100.00"
"105461917","0","$90.00"
"105462121","0","$100.00"
"105462829","0","$0.00"
"105467456","0","$0.00"
"105468407","0","$0.00"
"105656379","0","$35.00"
"105663893","0","$0.00"
"105663932","0","$0.00"
"105667797","0","$0.00"
"105930241","0","$0.00"
"105996858","1","$250.00"
"105996876","0","$0.00"
"106021931","2","$380.00"
"106263896","0","$165.00"
"106264081","0","$100.00"
"106293055","0","$0.00"
"106296790","0","$0.00"
"106296819","0","$480.00"
"106296969","0","$0.00"
"106306033","0","$0.00"
"106306670","0","$0.00"
"106306876","0","$0.00"
"106314809","0","$0.00"
"106341136","3","$485.00"
"106488507","0","$0.00"
"106581935","14","$1,120.00"
"106582270","0","$0.00"
"106582294","0","$0.00"
"106646854","0","$0.00"
"106650582","0","$60.00"
"106663096","6","$600.00"
"106663527","9","$483.00"
"106663762","3","$750.00"
"106663875","0","$0.00"
"106664551","0","$35.00"
"106664627","0","$0.00"
"106664668","0","$0.00"
"106664822","0","$0.00"
"106664869","0","$0.00"
"106664940","0","$0.00"
"106664951","0","$0.00"
"106665001","0","$0.00"
"106665018","14","$1,110.00"
"106665067","0","$0.00"
"106665096","0","$70.00"
"106665109","0","$0.00"
"106665253","0","$145.00"
"106665269","0","$0.00"
"106665281","0","$0.00"
"106665296","0","$0.00"
"106665343","0","$0.00"
"106665355","0","$0.00"
"106665368","0","$0.00"
"106665483","1","$675.00"
"106665558","0","$320.00"
"106670039","0","$0.00"
"106674693","0","$0.00"
"106674751","0","$0.00"
"106674788","0","$0.00"
"106674827","0","$35.00"
"106674841","0","$70.00"
"106678037","0","$0.00"
"106679196","1","$510.00"
"106680375","0","$35.00"
"106680422","0","$0.00"
"106680464","0","$0.00"
"106680790","0","$0.00"
"106680890","0","$0.00"
