Constituent ID,History Total Years As Member,History Total Active Memberships
"2013806","1","0"
"2013807","4","0"
"2013808","1","0"
"2013809","1","0"
"2013810","2","0"
"2013825","6","0"
"2013826","2","0"
"2013834","7","1"
"2013836","1","0"
"2013837","1","0"
"2013838","1","0"
"2013839","1","0"
"2013840","7","1"
"2013841","7","1"
"2013842","1","0"
"2013843","1","0"
"2013844","1","0"
"2013845","1","0"
"2013846","1","0"
"2013852","1","0"
"2013853","1","0"
"2013854","1","0"
"2013855","1","0"
"2013867","7","1"
"2013868","2","0"
"2013869","1","0"
"2013870","7","1"
"2013876","1","0"
"2013886","3","0"
"2013887","1","0"
"2013888","1","0"
"2013889","1","0"
"2013890","1","0"
"2013891","1","0"
"2013899","1","0"
"2013900","1","0"
"2013901","1","0"
"2013902","1","0"
"2013903","1","0"
"2013904","1","0"
"2013905","1","0"
"2013906","1","0"
"2013907","1","0"
"2013908","4","0"
"2013909","1","0"
"2013910","1","0"
"2013911","5","0"
"2013912","1","0"
"2013913","1","0"
"2013914","1","0"
"2013915","1","0"
"107032075","3","0"
"107032075","2","0"
"107032075","1","0"
"107032286","3","0"
"107032286","2","0"
"107032286","1","0"
"107032286","2","0"
"107032494","3","0"
"107032494","2","0"
"107032494","1","0"
"107032494","4","0"
"107041870","3","0"
"107041870","1","0"
"107046390","1","0"
"107046390","2","0"
"107046390","1","0"
"107091221","11","1"
"107091242","3","0"
"107091242","2","0"
"107091290","3","0"
"107091372","2","0"
"107091372","1","0"
"107091372","7","0"
"107091372","3","0"
"107093036","3","0"
"107093036","2","0"
"107094032","3","0"
"107094032","2","0"
"107096470","3","0"
"107096470","1","0"
"107096860","9","0"
"107097430","3","0"
"107101151","5","0"
"107101595","3","0"
"107101595","2","0"
"107101595","6","0"
"107103688","3","0"
"107103688","1","0"
"107104531","11","1"
"107107247","2","0"
"107107247","1","0"
"107107247","2","0"
"107107247","3","0"
"107107897","3","0"
"107110621","3","0"
"107110621","2","0"
"107110621","1","0"
"107110719","3","0"
"107110719","2","0"
"107110719","1","0"
"107110719","3","0"
"107111288","11","1"
"107111724","3","0"
"107111724","2","0"
"107112798","11","1"
"107113984","3","0"
"107114261","3","0"
"107114261","2","0"
"107114261","1","0"
"107114261","2","0"
"107119193","3","0"
"107119261","8","0"
"107119319","3","0"
"107159791","3","0"
"107159791","2","0"
"107159791","1","0"
"107192753","4","0"
"107192753","3","0"
"107192753","2","0"
"107192753","1","0"
"107192753","2","0"
"107192823","1","0"
"107192823","2","0"
"107192823","3","0"
"107192924","2","1"
"107192924","1","1"
"107192924","11","1"
"107193049","2","1"
"107193049","11","1"
"107193070","3","0"
"107193070","2","0"
"107193097","6","0"
"107193128","3","0"
"107193128","2","0"
"107193128","1","0"
"107193128","3","0"
"107193154","8","0"
"107193405","3","0"
"107200135","3","0"
"107200135","2","0"
