Constituent ID,History Total Years As Member,History Consecutive Years Without A Drop,Current Standing
"2013806","1","0","Dropped"
"2013807","4","0","Dropped"
"2013808","1","0","Dropped"
"2013809","1","0","Dropped"
"2013810","2","0","Dropped"
"2013825","6","1","Lapsed"
"2013826","2","0","Dropped"
"2013834","7","7","Active"
"2013835","7","7","Active"
"2013836","1","0","Dropped"
"2013837","1","0","Dropped"
"2013838","1","0","Dropped"
"2013839","1","0","Dropped"
"2013840","7","6","Active"
"2013841","7","5","Active"
"2013842","1","0","Dropped"
"2013843","1","0","Dropped"
"2013844","1","0","Dropped"
"2013845","1","0","Dropped"
"2013846","1","0","Dropped"
"2013852","1","0","Dropped"
"2013853","1","0","Dropped"
"2013854","1","0","Dropped"
"2013855","1","0","Dropped"
"2013856","7","3","Active"
"2013867","7","4","Active"
"2013868","2","0","Dropped"
"2013869","1","0","Dropped"
"2013870","7","1","Active"
"2013872","2","1","Active"
"2013876","1","0","Dropped"
"2013886","3","0","Dropped"
"2013887","1","0","Dropped"
"2013888","1","0","Dropped"
"2013889","1","0","Dropped"
"2013890","1","0","Dropped"
"2013891","1","0","Dropped"
"2013899","1","0","Dropped"
"2013900","1","0","Dropped"
"2013901","1","0","Dropped"
"2013902","1","0","Dropped"
"2013903","1","0","Dropped"
"2013904","1","0","Dropped"
"2013905","1","0","Dropped"
"2013906","1","0","Dropped"
"2013907","1","0","Dropped"
"2013908","4","0","Dropped"
"2013909","1","0","Dropped"
"2013910","1","0","Dropped"
"2013911","5","0","Dropped"
"2013912","1","0","Dropped"
"2013913","1","0","Dropped"
"2013914","1","0","Dropped"
"2013915","1","0","Dropped"
"107032075","3","0","Dropped"
"107032075","2","0","Dropped"
"107032075","1","0","Dropped"
"107032286","3","0","Dropped"
"107032286","2","0","Dropped"
"107032286","1","0","Dropped"
"107032286","2","0","Dropped"
"107032494","3","0","Dropped"
"107032494","2","0","Dropped"
"107032494","1","0","Dropped"
"107032494","4","0","Dropped"
"107041870","3","0","Dropped"
"107041870","1","0","Dropped"
"107046390","1","0","Dropped"
"107046390","2","0","Dropped"
"107046390","1","0","Dropped"
"107091221","11","11","Active"
"107091242","3","0","Dropped"
"107091242","2","0","Dropped"
"107091290","3","0","Dropped"
"107091372","2","0","Dropped"
"107091372","1","0","Dropped"
"107091372","7","0","Dropped"
"107091372","3","0","Dropped"
"107093036","3","0","Dropped"
"107093036","2","0","Dropped"
"107094032","3","0","Dropped"
"107094032","2","0","Dropped"
"107096470","3","0","Dropped"
"107096470","1","0","Dropped"
"107096860","9","0","Dropped"
"107097430","3","0","Dropped"
"107101151","5","0","Dropped"
"107101595","3","0","Dropped"
"107101595","2","0","Dropped"
